Pattern ID,Pattern,MB Pattern Type,S,R1,a,C2,b,R1,c,C3,d,P,e,E1,C1
119,3,s r1 o r2 c2 (property chain),NCBITaxon_990719,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
120,3,s r1 o r2 c2 (property chain),NCBITaxon_544448,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
121,3,s r1 o r2 c2 (property chain),NCBITaxon_186803,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
122,3,s r1 o r2 c2 (property chain),NCBITaxon_1730,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
123,3,s r1 o r2 c2 (property chain),NCBITaxon_1263076,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43580
124,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_16112
125,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_16433
126,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_48400
127,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_1427
128,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000207
129,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000208
130,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000209
131,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000210
132,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000211
133,3,s r1 o r2 c2 (property chain),NCBITaxon_1678,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_30745
134,3,s r1 o r2 c2 (property chain),NCBITaxon_511693,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28527
135,3,s r1 o r2 c2 (property chain),NCBITaxon_511693,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_68352
136,3,s r1 o r2 c2 (property chain),FAKEURI_0000015,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_17948
137,3,s r1 o r2 c2 (property chain),FAKEURI_0000015,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_41941
138,3,s r1 o r2 c2 (property chain),FAKEURI_0000015,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_16243
